x,y
6.294473728,20.50861154
8.115838742,25.53074349
-7.460263674,-22.41055857
8.267517123,26.7517732
2.647184925,9.248616693
-8.0491919,-23.01240076
-4.430035623,-11.77486053
0.937630384,4.074297476
9.150136709,27.50892436
9.297770704,28.73097444
-6.847738366,-19.68926973
9.411855635,28.70355553
9.143338965,30.11212049
-0.292487026,-0.753190423
6.005609378,18.53301308
-7.162273227,-21.19882423
-1.564774347,-4.868535374
8.314710504,25.75189199
5.844146591,18.25836954
9.189848528,30.0996181
3.114813983,10.09541721
-9.285766429,-27.9215127
6.982586117,23.55121565
8.679864955,28.27427401
3.574703097,11.49448284
5.154802612,14.95824813
4.862649362,15.14332027
-2.155459609,-5.622319864
3.109557804,10.60474166
-6.576266244,-18.98996238
4.12092176,13.80618719
-9.363343072,-26.69813501
-4.461540301,-13.63529981
-9.076572187,-27.17767748
-8.057364375,-23.91319922
6.469156567,19.89965215
3.89657246,12.36914187
-3.658010399,-9.961562155
9.004440977,24.98414559
-9.31107839,-27.39024981
-1.225112807,-1.432890014
-2.368830858,-7.173193973
5.310335763,17.86473545
5.903998023,19.06231507
-6.262547909,-17.81664949
-0.204712084,0.568315915
-1.088275986,-3.829883971
2.926260202,9.694241127
4.187296617,15.1658362
5.09373364,16.37954869
-4.47949846,-12.39712177
3.594053537,11.0479915
3.101960079,10.27506651
-6.747765296,-19.01094888
-7.620046369,-21.43375155
-0.03271896,0.529034377
9.19487917,28.34818293
-3.192285467,-6.553165513
1.70535502,3.857711088
-5.52376121,-13.34183795
5.025341186,16.41358726
-4.898097691,-12.69423225
0.119141033,-0.306741375
3.981534453,12.3545688
7.818065051,24.17613099
9.185828504,28.9802012
0.944310599,2.1627311
-7.227511143,-20.2108991
-7.014119889,-21.25520687
-4.849834918,-13.4833147
6.81434512,22.09539125
-4.914356421,-13.41600929
6.285696521,20.93972307
-5.129500626,-13.38242477
8.585272464,26.10490965
-3.00032468,-7.743917883
-6.068094991,-18.14866278
-4.97832284,-15.25675704
2.320893523,8.887506502
-0.534223022,-0.602619217
-2.966809859,-7.955348491
6.616572558,21.76084494
1.705281823,6.710429167
0.994472166,4.333617671
8.343873277,27.28187106
-4.283219624,-10.91986941
5.144004582,16.671777
5.074581886,15.53338455
-2.39108306,-6.824802823
1.356432815,6.261400314
-8.482914209,-26.06057301
-8.920997627,-25.78745482
0.61595106,0.899006004
5.583344602,18.77053182
8.680213685,27.90235736
-7.401875831,-21.20446541
1.376473217,5.058582439
-0.612187179,-3.322845457
-9.76195861,-27.70470351
-3.257547112,-10.96507626
