x,y
-0.969220667,0
0.095676253,0
0.589348898,0
1.109713364,0
1.530880354,0
0.146350605,0
-1.351389354,0
-0.639995356,0
-0.943128007,0
2.296350675,0
-0.519703117,0
0.775008937,0
-0.117921799,0
0.908435238,0
-0.661402444,0
-1.266585345,0
-1.285675413,0
0.528269366,0
-0.103639247,0
-0.121372941,0
5.640018382,1
3.579259742,1
3.407902321,1
5.947725245,1
1.57638348,1
4.319412874,1
4.572435704,1
2.60107593,1
3.440537167,1
0.916016572,1
0.948710112,1
3.238074368,1
4.366247357,1
7.771048665,1
1.827782769,1
3.388751557,1
2.895683882,1
-0.485894032,1
2.244282442,1
-0.233089887,1
4.582097612,1
1.423678257,1
3.229336157,1
2.051381467,1
3.601071855,1
1.949419221,1
3.941772739,1
4.397511791,1
6.174662438,1
2.691697542,1
-0.861109732,1
1.51220157,1
5.52175941,1
1.087219257,1
4.802437398,1
3.27311411,1
5.67178969,1
-0.536835438,1
2.685165304,1
0.8392647,1
